OA,OB,OC,OD,OE
152.5417975507041,222.72853431924702,224.0557966221807,198.97989848223364,149.0
157.88920165736477,222.9910312097776,230.13908837917995,207.3306537876153,155.6181223379848
160.37767924496225,226.27416997969522,235.10423220350586,215.20455385516357,167.70509831248424
170.41420128616042,231.22499864850255,240.01874926763534,218.07338214463496,173.5280957078709
175.93180496999398,235.80500418778223,248.03225596683993,218.97945109073592,176.00568172647155
181.2181006411887,242.099153240981,250.0,222.03152929257593,180.24705268048075
181.89282558693733,242.78591392418136,253.00790501484337,222.80035906613796,178.71765441612084
182.5212316416915,242.6375898330677,253.0177859360879,226.53035116734358,182.22239159883728
185.98118184375537,244.47699278255203,252.00198411917316,224.19857269840057,178.33956375409244
185.9704277566732,244.23349483639626,252.00198411917316,223.98660674245681,177.22866585290316
186.76188047886004,245.75190741884384,251.07170290576354,219.25783908448975,174.73408368146153
185.60711193270586,247.40654801358835,247.1639132235934,217.52471123989568,173.34935823359717
185.80096878111266,246.6779276708802,250.51147678300092,219.80445855350615,173.738308959193
185.39956850003725,243.81345327934633,251.87695408671274,220.0545386943882,174.77127910500627
185.85209172887994,244.85914318236107,251.56311335328954,219.66565503054863,175.025712396779
186.47251808242416,242.98148077579904,255.76551761330143,222.52415599210798,177.65415840897168
187.09623192357455,245.45875417267155,253.6631624812716,223.40322289528413,182.02472359545007
188.04254837669055,246.84002916869053,254.77244748991205,227.06827167175956,184.27153876819935
188.2179587605816,246.84002916869053,255.14309710435043,227.06827167175956,185.17289218457435
189.62067397834025,250.353749722268,255.14309710435043,227.79376637651873,184.8053029542172
188.2179587605816,246.84002916869053,256.2654873368632,226.97356674291393,183.89671013914307
188.403821617291,248.2780699135548,254.2833065696606,226.71568097509268,182.6608879864543
187.8004259846074,246.78938388836744,254.16726775885206,223.503914954526,180.42727066604982
190.06577808748213,250.3197954617253,253.84247083575278,221.14474897677312,174.77127910500627
190.14205216100936,250.69702830308938,248.8714527622644,211.0,164.34415109762804
191.84629264074925,252.00198411917316,246.4467488119898,206.4097865896867,151.24152868838638
196.70282153543198,254.4720023892609,239.841614404173,194.64840096954302,137.81872151489435
202.9507329378241,255.80656754665233,241.96280705926685,191.0863679072895,112.16059914247963
100.84641788382967,83.52843827104634,99.00505037623081,95.0789145920377,71.78439941937245
201.55644370746373,247.95160818191923,236.78260071213003,179.77764043395385,96.30160954002794
59.413803110051795,67.62396025078685,61.220911460055866,53.53503525729669,46.09772228646444
197.3854097951518,240.61587645041215,221.89411889457548,168.23792675850473,92.43916918709297
186.80738743422327,232.44139046219803,216.9539121564762,160.4244370412438,80.61017305526642
187.76847445724215,233.09440147716975,219.12781658201223,160.41508657230466,80.05623023850174
186.3571839237758,234.15593095200472,214.94650497274898,155.56670594957006,75.45197147855052
183.53473785635242,232.46720198772127,214.11445537375565,156.48642113614844,73.348483283569
179.8054504179448,233.54871012274933,213.84340064636083,154.67385040788247,76.48529270389177
181.289823211343,234.69128658729537,215.77998053572995,157.26728839781018,77.07788269017254
183.53473785635242,233.62362894193728,214.94650497274898,153.3883959105121,78.39005038906404
181.46625030566977,233.94443784796422,216.90550938138938,156.48642113614844,76.96752561957543
179.96110690924303,233.94443784796422,214.68348795377813,152.11837495845134,76.69419795525604
177.1383639983163,230.15212360523637,208.3122656014283,146.102703602637,74.63243262818116
177.45985461506498,221.06333933965624,202.7856010667424,147.12239802287073,74.72616676907762
172.8843544106869,220.41097976280582,202.5660386145713,143.5339681051144,75.69015788066504
167.20047846821492,215.59452683219953,196.72569735548024,140.41723540933285,72.53275122315436
167.0478973228936,213.9369065869655,193.64400326372103,135.09256086106296,69.12307863514182
130.59862173851607,203.54115063052976,192.23423212320952,149.83324063771698,66.30987860040162
153.83432646844463,197.69926656414282,186.33571852975479,128.9961239727768,72.3671196055225
158.8238017426859,212.24985276791125,191.9713520294109,135.5949851580065,92.17917335276988
160.3527361787132,217.91053209975877,202.70421801235415,149.21461054467824,111.01801655587259
160.5615146914104,221.472345903501,205.93445559206452,156.7226850203888,119.54078801814885
156.8948692596415,228.56071403458645,214.1821654573508,169.28378540191025,130.0
158.14550262337528,230.00869548780108,215.3369452741447,169.6850022836432,130.14607178090316
154.26276284314372,233.21449354617735,219.9659064491586,181.59570479501986,137.05838172107534
155.2063143045411,235.61409125941512,221.77916944564473,183.35757415498276,145.11374848717816
158.11388300841898,241.91320757660174,230.37577997697588,195.45076106272904,157.29272074701996
161.19863522995473,246.35746386095144,235.03191272676142,206.15528128088303,162.88953311984167
187.51533270642165,251.44780770569466,239.75404063331237,213.74049686477292,171.18703221914913
198.64037857394453,251.87298386289865,250.15395259719563,221.35265979879256,183.3712082089225
201.67548190099856,256.7975856584325,252.6697449240807,236.23081932719955,197.29419656948858
205.10485123467947,259.7941492797711,259.2392717163046,240.30813552603666,211.43556938225885
203.48218595248088,259.11580422660444,264.59402865522117,247.5520147362974,217.11057090800531
209.2510453976276,264.5770209220748,268.4641503068892,254.23021063595098,225.21989254948153
214.14014102918676,273.22701184180164,275.9601420495358,264.7659343646761,229.804264538324
212.7580785775243,272.6169473822198,276.65321252427196,266.27053911388697,233.0772404161333
217.4235497824465,273.64210202379314,283.45193596093145,271.67075661542964,239.35329536064467
176.24131184259835,239.17566765873153,252.1983346495373,237.06539182259397,201.69283576765935
181.79383927955314,247.1639132235934,261.23169792351007,248.08466296810852,211.65301793265317
186.72439583514523,252.6064132202506,268.36542251191753,251.58895047279003,211.5490486861144
190.9659655540746,257.00194551792794,271.3613826615718,255.27436220662662,213.76856644511605
195.2434377898525,262.36043909095747,275.5249534978638,258.11818998280614,216.453228204155
197.29419656948858,265.9323222175146,280.3016232560918,262.6194966105906,221.37072977247917
201.62589119455865,269.92035862453946,282.7083302628347,262.8345487183905,221.89411889457548
203.0,269.82401672201087,283.5718603811034,266.05450569385215,222.74873737015884
202.3116407921205,270.4902955745363,284.45034716097643,266.18038996139444,221.82200071228283
203.7694775966214,271.7370052090808,284.50834785643815,266.05450569385215,221.84679398179276
205.2364490045567,271.37059531201976,285.63263118908526,265.9323222175146,222.74873737015884
206.71236053995418,274.5323296080081,286.7699426369507,266.80704638371157,222.31958978011812
206.0412580043133,273.94159961568454,288.6936092122581,268.03917624108607,222.28135324403618
208.12496246245908,275.1908428709066,288.6936092122581,268.9107658685312,224.08257406590099
210.21179795625173,276.739950133695,290.7593506664919,269.9036865253974,224.98444390668436
210.21179795625173,277.39682766751315,290.7593506664919,271.1401851441427,226.3183598385248
211.62466774929618,276.739950133695,290.7593506664919,272.0091910211859,226.3183598385248
211.62466774929618,278.3522947633089,292.8275943281302,271.8896835115301,227.6532450899833
212.3628969476542,277.69407627819504,291.83043021590464,272.88275870783775,226.75316976836288
213.7755832643195,279.9017684831591,293.82477771624366,273.00183149568795,227.69497139814047
213.03755537463343,280.26416110519733,293.7515957403466,273.25080054777516,228.98908270919816
213.62116000059544,280.36048223670895,294.49108645254444,273.6512378923216,228.97379762758882
213.56497840235883,280.9216972752372,295.33201655086435,273.2471408816568,227.65983396286663
212.30167215544958,281.1494264621573,294.0612181162283,271.1051456538588,221.0701246211256
208.60009587725506,280.14282071829007,291.08418026406036,264.76404589747455,211.9858485842864
205.32169880458324,280.71693928225994,287.29427422070216,253.77549133042774,192.41881404893857
208.07931180201456,283.0494656416083,281.0284683088174,243.52823244954578,174.13213373757299
215.17667159801502,289.66359798911566,283.17662332897464,239.75404063331237,162.5607578722491
218.62525014279572,291.0755915565577,282.0868660537034,230.10649708341572,154.35349040433132
183.96738841436002,268.3616962235855,281.215220071745,237.17082451262846,143.50261321662404
222.4275162833951,265.9962405749375,260.69330639661615,208.86598574205422,133.18032887780387
213.78961621182634,273.80650101851126,257.9399154842073,202.3116407921205,115.73245007343446
198.65799757371965,278.12587078515367,271.1401851441427,214.76731594914529,127.47548783981962
158.76082640248507,276.63152387246106,276.90431560378397,231.8641843838759,139.2300254973761
169.49926253526885,283.28960446864266,281.46047679914136,235.74774654278247,144.80676779764127
173.92239648762893,287.76726707532254,286.14157335137446,240.97302753627844,160.63934760823702
169.24833824885843,291.20782956507196,287.9027613622349,243.8462630429263,174.69115604403103
163.1686244349691,297.1077245714086,296.7642161716941,256.9844353263442,192.35384061671346
177.36967046256808,298.24151287169934,301.7167545894659,267.5070092539633,211.45448682872635
208.13697413001853,305.235974288746,307.001628660175,279.06450867138227,227.11450856341168
216.72332592501436,304.1052449399714,311.53811965793204,286.7647119155354,236.24140195994434
218.52459815773602,304.00164473239283,312.6739515853535,289.4149270511112,241.83465425782137
218.52459815773602,303.08084729985825,309.9629010059107,290.2447243275922,242.53865671269807
217.69703718700444,300.32648900821255,310.2337828154761,288.0225685601738,241.17421089328766
218.23381956058049,297.7414986191881,307.9383055093991,287.20027855139693,240.45373775427157
216.51789764358972,296.97137909232936,307.7287766849243,284.6137733842127,241.2073796549351
218.69156362329116,296.23301639081353,305.77279146451207,284.8104632909402,242.03305559365234
219.6041893953756,297.3213749463701,307.52235691084314,285.8548582760139,242.90944814889355
219.18029108475972,294.43165590676557,308.5012155567624,286.77517326295873,242.99176940793694
218.25672956406177,296.4219964847413,309.48020938341114,288.2308102892541,245.81497106563708
220.92758994747578,298.31694554617576,311.8493225902535,291.6316169416478,246.47920804806233
220.95248357961492,298.41246622753545,310.6638054231616,289.15393824051574,245.15301344262525
220.53117693423758,298.41246622753545,309.48020938341114,288.2308102892541,244.59149617270018
220.1181500921721,297.41721537261424,310.4593371119638,287.69602013236124,245.246814454337
220.53117693423758,296.52150006365474,311.23785116852355,289.0069203323685,244.49335369289693
219.18029108475972,296.52150006365474,311.0401903291599,289.15393824051574,245.246814454337
221.0,296.52150006365474,311.0401903291599,287.69602013236124,243.1810025474852
220.53117693423758,297.51638610335397,313.0015974400131,289.15393824051574,242.52834885843757
220.1181500921721,297.51638610335397,311.23785116852355,288.2308102892541,243.1810025474852
219.64744478368056,297.3213749463701,311.4385974795032,288.61739379323626,243.83601046605074
221.41589825484527,297.51638610335397,313.0015974400131,290.46170143411337,246.6576574931336
220.06589922111968,299.220654367308,314.37716202039866,292.15920317525513,246.6576574931336
220.95248357961492,298.31694554617576,312.62117650600703,290.31879029783795,246.6576574931336
222.72853431924702,299.312545677591,313.1980204279714,290.84875794818174,248.2780699135548
216.9446934128604,298.22474746405607,313.39751115795417,289.79475495598604,244.59149617270018
218.7647137908671,296.62434155004877,310.84562084739105,288.77153599342165,243.93851684389654
218.29567105190154,297.41721537261424,311.0401903291599,288.61739379323626,243.93851684389654
218.7167117528974,297.61888380947875,310.84562084739105,287.84718167805636,243.28789530101986
217.83020910791964,298.41246622753545,311.6360056219435,288.61739379323626,243.93851684389654
